Id,SurveyId,HAEntityId,ADM,ADMPlanned,ADMTimeFrame,ADMPerc,Robot,RobotPlanned,RobotTimeFrame,DeptMedical,DeptED,DeptOR,DeptOther,DeptOtherName,EMAR_CPOE,CarouselsTimeFrame,CarouselsPlanned,Carousels,InventoryMgmt,PharmaceuticalSupplyVendorID,PharmaceuticalSupplyVendorName
100262,56424,862656,False,False,,,False,False,,False,False,False,False,,,,False,False,1378.0,,
101535,56797,878405,False,False,,,False,False,,False,False,False,False,,,,False,False,1380.0,,
102373,57094,887601,False,False,,,False,False,,False,False,False,False,,,,False,False,1379.0,,
102376,57094,887604,False,False,,,False,False,,False,False,False,False,,,,False,False,1379.0,,
102382,57094,887610,False,False,,,False,False,,False,False,False,False,,,,False,False,1379.0,,
102365,57094,887593,False,False,,,False,False,,False,False,False,False,,,,False,False,1379.0,,
102472,57095,888579,False,False,,,False,False,,False,False,False,False,,,,False,False,,,
102354,57094,887582,True,True,,95.0,False,False,,True,True,True,False,,,,False,False,1381.0,,
103163,57209,896322,False,False,,,False,False,,False,False,False,False,,,,False,False,1381.0,,
103167,57209,896326,False,False,,,False,False,,False,False,False,False,,,,False,False,1381.0,,
103169,57209,896328,False,False,,,False,False,,False,False,False,False,,,,False,False,1381.0,,
103174,57209,896333,False,False,,,False,False,,False,False,False,False,,,,False,False,1381.0,,
103198,57209,896357,False,False,,,False,False,,False,False,False,False,,,,False,False,1381.0,,
100830,56655,871146,True,False,,85.0,False,False,,True,True,True,False,,,,False,False,1380.0,,
102883,57184,892321,True,True,,80.0,False,False,,True,True,True,False,,,,False,False,1379.0,,
99269,55809,853338,False,False,,,False,False,,False,False,False,False,,,,False,False,1379.0,,
99274,55811,853350,True,True,,95.0,False,False,,True,True,True,False,,,,False,False,1380.0,,
99275,55812,853353,True,False,,,False,False,,True,True,True,False,,,,False,False,1379.0,,
99276,55812,853354,True,False,,,False,False,,True,True,True,False,,,,False,False,1379.0,,
99277,55812,853355,True,False,,,False,False,,True,True,True,False,,,,False,False,1379.0,,
99748,56015,855941,True,True,,95.0,False,False,,True,False,False,False,,,,False,False,1378.0,,
99749,56016,855944,True,True,,100.0,False,False,,True,True,True,False,,,,False,False,1381.0,,
99750,56017,855952,True,True,,30.0,False,False,,True,True,True,False,,,,False,False,1381.0,,
99751,56018,855962,True,True,,90.0,False,False,,True,True,False,False,,,,False,False,1378.0,,
100131,56284,860668,False,False,,,False,False,,False,False,False,False,,,,False,False,1381.0,,
100895,56664,871616,False,False,,,False,False,,False,False,False,False,,,,False,False,,,
99753,56020,855987,True,True,,95.0,False,False,,True,True,False,False,,,,False,False,1381.0,,
99754,56021,855990,False,False,,,False,False,,False,False,False,False,,,,False,False,1381.0,,
99758,56025,856015,True,True,,95.0,False,False,,True,True,False,False,,,,False,False,1381.0,,
99760,56027,856024,True,False,,100.0,False,False,,True,True,True,True,"ICU, OB/GYN, Outpatient Services, Radiology",,,False,False,1379.0,,
99761,56027,856025,True,False,,100.0,False,False,,True,True,False,False,,,,False,False,1379.0,,
99762,56028,856035,False,False,,,False,False,,False,False,False,False,,,,False,False,1378.0,,
99763,56029,856042,True,True,,100.0,False,False,,True,True,True,False,,,,False,False,1379.0,,
99766,56032,856056,True,True,,,False,False,,False,False,True,True,ICU,,,False,False,1378.0,,
99769,56035,856069,False,False,,,False,False,,False,False,False,False,,,,False,False,1379.0,,
99777,56043,856104,True,True,,50.0,False,False,,True,True,False,False,,,,False,False,1378.0,,
99778,56044,856110,True,True,,10.0,True,False,,True,True,True,False,,,,True,True,1379.0,,
99779,56044,856111,True,True,,80.0,False,False,,True,True,True,False,,,,False,False,1378.0,,
99780,56044,856112,True,True,,98.0,False,False,,True,True,False,False,,,,False,False,1378.0,,
99781,56044,856113,True,True,,99.0,False,False,,True,True,False,False,,,,False,False,1378.0,,
99782,56045,856146,False,False,,,False,False,,False,False,False,False,,,,False,False,1379.0,,
99783,56046,856152,False,False,,,False,False,,False,False,False,False,,,,False,False,1379.0,,
99805,56049,856211,True,True,,30.0,False,False,,True,True,True,False,,,,False,False,1379.0,,
99806,56049,856212,True,True,,95.0,False,False,,True,True,True,False,,,,False,False,1380.0,,
99807,56049,856213,True,True,,70.0,False,False,,True,True,True,False,,,,False,False,,,
99808,56049,856214,True,False,,40.0,False,False,,True,True,True,False,,,,False,True,1380.0,,
99809,56049,856215,True,True,,70.0,False,False,,True,True,True,False,,,,False,False,1380.0,,
99810,56049,856216,True,True,,70.0,False,False,,True,True,True,False,,,,False,False,1379.0,,
99811,56049,856217,True,True,,70.0,False,False,,True,False,True,False,,,,False,False,1379.0,,
99789,56049,856195,True,False,,100.0,True,False,,True,True,True,False,,,,False,True,1379.0,,
99790,56049,856196,True,True,,100.0,False,False,,True,True,True,True,"Geropsychiatry, ICU",,,True,True,1379.0,,
99792,56049,856198,True,True,,95.0,False,False,,False,False,False,False,,,,True,True,1379.0,,
99793,56049,856199,True,True,,75.0,False,False,,False,False,False,False,,,,False,False,1379.0,,
