Id,SurveyId,HAEntityId,VendorId,VendorName,ProductId,ProductName,Type,NofDevices,ContractYear,ContractMonth,Qty
193672,56211,859638,-1,Not Reported,-1,Not Reported,CAROUSEL,,,,
193681,56237,860148,-1,Not Reported,-1,Not Reported,ROBOTTECH,,,,
193745,56115,858228,-1,Not Reported,-1,Not Reported,CAROUSEL,,,,
193829,56293,860761,-1,Not Reported,-1,Not Reported,CAROUSEL,,,,
194026,56269,860473,-1,Not Reported,-1,Not Reported,ADM,,,,
194137,56312,861296,-1,Not Reported,-1,Not Reported,CAROUSEL,,,,
194138,56312,861296,-1,Not Reported,-1,Not Reported,ROBOTTECH,,,,
194326,56334,861602,-1,Not Reported,-1,Not Reported,ROBOTTECH,,,,
194298,56549,867429,-1,Not Reported,-1,Not Reported,CAROUSEL,,,,
194373,56222,859884,-1,Not Reported,-1,Not Reported,CAROUSEL,,,,
194469,56536,866638,-1,Not Reported,-1,Not Reported,ADM,,,,
194475,56555,867654,-1,Not Reported,-1,Not Reported,ROBOTTECH,,,,
194526,55812,853355,-1,Not Reported,-1,Not Reported,ADM,,,,
194535,56419,862121,-1,Not Reported,-1,Not Reported,ROBOTTECH,,,,
194656,56598,869497,-1,Not Reported,-1,Not Reported,CAROUSEL,,,,
194689,56479,864867,-1,Not Reported,-1,Not Reported,CAROUSEL,,,,
194716,56436,863047,-1,Not Reported,-1,Not Reported,ROBOTTECH,,,,
194873,56475,864768,-1,Not Reported,-1,Not Reported,CAROUSEL,,,,
194874,56475,864768,-1,Not Reported,-1,Not Reported,ROBOTTECH,,,,
194913,56550,867469,-1,Not Reported,-1,Not Reported,ADM,,,,
194914,56550,867479,-1,Not Reported,-1,Not Reported,ADM,,,,
194950,56550,867471,-1,Not Reported,-1,Not Reported,ADM,,,,
194951,56550,867471,-1,Not Reported,-1,Not Reported,CAROUSEL,,,,
194952,56550,867469,-1,Not Reported,-1,Not Reported,CAROUSEL,,,,
194953,56550,867474,-1,Not Reported,-1,Not Reported,CAROUSEL,,,,
194954,56550,867477,-1,Not Reported,-1,Not Reported,CAROUSEL,,,,
194955,56550,867473,-1,Not Reported,-1,Not Reported,ROBOTTECH,,,,
194960,56486,865091,-1,Not Reported,-1,Not Reported,CAROUSEL,,,,
195014,56472,864728,-1,Not Reported,-1,Not Reported,CAROUSEL,,,,
195026,56492,865234,-1,Not Reported,-1,Not Reported,ADM,,,,
195059,56447,863188,-1,Not Reported,-1,Not Reported,ADM,,,,
195061,56464,864484,-1,Not Reported,-1,Not Reported,CAROUSEL,,,,
195076,56487,865101,-1,Not Reported,-1,Not Reported,ADM,,,,
195119,56622,870177,-1,Not Reported,-1,Not Reported,ADM,,,,
195123,56622,870176,-1,Not Reported,-1,Not Reported,ADM,,,,
195234,56652,870807,-1,Not Reported,-1,Not Reported,ROBOTTECH,,,,
195275,56496,865383,-1,Not Reported,-1,Not Reported,CAROUSEL,,,,
195276,56496,865383,-1,Not Reported,-1,Not Reported,ADM,,,,
195295,56417,862084,-1,Not Reported,-1,Not Reported,CAROUSEL,,,,
195361,56496,865382,-1,Not Reported,-1,Not Reported,ADM,,,,
195388,56622,870181,-1,Not Reported,-1,Not Reported,ADM,,,,
195391,56609,869743,-1,Not Reported,-1,Not Reported,CAROUSEL,,,,
195395,56560,867800,-1,Not Reported,-1,Not Reported,ROBOTTECH,,,,
195396,56560,867800,-1,Not Reported,-1,Not Reported,CAROUSEL,,,,
195400,56560,867799,-1,Not Reported,-1,Not Reported,ROBOTTECH,,,,
195426,56540,866823,-1,Not Reported,-1,Not Reported,CAROUSEL,,,,
195432,56489,865117,-1,Not Reported,-1,Not Reported,CAROUSEL,,,,
195433,56489,865117,-1,Not Reported,-1,Not Reported,ROBOTTECH,,,,
195436,56659,871450,-1,Not Reported,-1,Not Reported,CAROUSEL,,,,
195450,56049,856195,-1,Not Reported,-1,Not Reported,CAROUSEL,,,,
195451,56049,856195,-1,Not Reported,-1,Not Reported,ROBOTTECH,,,,
195452,56049,856196,-1,Not Reported,-1,Not Reported,CAROUSEL,,,,
195439,56671,872053,-1,Not Reported,-1,Not Reported,ROBOTTECH,,,,
195440,56671,872055,-1,Not Reported,-1,Not Reported,ROBOTTECH,,,,
195441,56671,872056,-1,Not Reported,-1,Not Reported,ROBOTTECH,,,,
195442,56541,866845,-1,Not Reported,-1,Not Reported,ROBOTTECH,,,,
195447,56049,856196,-1,Not Reported,-1,Not Reported,ADM,,,,
195448,56480,856197,-1,Not Reported,-1,Not Reported,ADM,,,,
195514,56541,866842,-1,Not Reported,-1,Not Reported,CAROUSEL,,,,
195515,56541,866843,-1,Not Reported,-1,Not Reported,CAROUSEL,,,,
195516,56541,866844,-1,Not Reported,-1,Not Reported,CAROUSEL,,,,
195517,56541,866845,-1,Not Reported,-1,Not Reported,CAROUSEL,,,,
195529,56494,865291,-1,Not Reported,-1,Not Reported,ROBOTTECH,,,,
195536,57053,885800,-1,Not Reported,-1,Not Reported,CAROUSEL,,,,
195559,56904,880642,-1,Not Reported,-1,Not Reported,ROBOTTECH,,,,
195620,56741,876926,-1,Not Reported,-1,Not Reported,CAROUSEL,,,,
195781,56770,877766,-1,Not Reported,-1,Not Reported,ADM,,,,
195782,56770,877766,-1,Not Reported,-1,Not Reported,CAROUSEL,,,,
195783,56770,877766,-1,Not Reported,-1,Not Reported,ROBOTTECH,,,,
195795,56899,880262,-1,Not Reported,-1,Not Reported,ADM,15.0,,,
195947,56900,880352,-1,Not Reported,-1,Not Reported,ADM,,,,
195943,56924,881771,-1,Not Reported,-1,Not Reported,CAROUSEL,,,,
195944,56924,881771,-1,Not Reported,-1,Not Reported,ROBOTTECH,,,,
195963,56906,880744,-1,Not Reported,-1,Not Reported,CAROUSEL,,,,
196016,56748,877331,-1,Not Reported,-1,Not Reported,ADM,,,,
196017,56748,877338,-1,Not Reported,-1,Not Reported,ADM,,,,
196018,56748,877344,-1,Not Reported,-1,Not Reported,ADM,,,,
196019,56748,877348,-1,Not Reported,-1,Not Reported,ADM,,,,
